student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,skills.tech.python,skills.tech.excel,skills.tech.sql,skills.soft,family.siblings,family.income.father,family.income.mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year,addr_postal,addr_city,addr_district
16,Adrian Allen,20,Female,0.0,Unknown,Antoniobury,Unknown,1999-08-29 00:00:00,Unknown,0.0,pending,0.0,excellent,53.0,1983-10-13 00:00:00,"1965 Jacobs Branch Apt. 418, Timburgh","['partner', 'race']",4.0,4.0,4.0,"['onto', 'owner']",3.0,798.0,626.0,laptop,Dell,2019.0,phone,Apple,2022.0,Unknown,Timburgh,Unknown
17,Stephen Lyons,19,Unknown,76.0,Unknown,New Adam,Unknown,2009-10-13 02:20:00,Unknown,0.0,active,0.0,good,110.0,1984-12-04 09:17:45,UZ 100399 Tashkent Joehaven,"['nothing', 'community']",1.0,1.0,5.0,"['wear', 'will']",1.0,772.0,498.0,laptop,Lenovo,2023.0,phone,Apple,2021.0,100399,Unknown,Unknown
18,Zachary Lyons ,18,Male,68.0,+2425525722,Chenport,Unknown,2003-09-25 00:00:00,Unknown,0.0,inactive,0.0,average,138.0,1997-08-27 00:00:00,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,,,,,,,,,,,100106,Tashkent, Port Kevin district
19,Unknown,20,Female,50.0,+11790996883,West Danaville,Unknown,1974-02-20 00:00:00,Unknown,0.0,active,3.05,excellent,6600.0,1976-05-07 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
20,Anthony Hardy ,20,Male,0.0,+6692728730,Kimport,Unknown,1973-05-20 19:05:00,Unknown,65.0,pending,0.0,  excellent  ,218.0,,"Masontown 10-kv, dom 21, Tashkent","['certainly', 'defense']",5.0,2.0,4.0,"['medical', 'quality']",4.0,1220.0,1220.0,laptop,Lenovo,2018.0,phone,Apple,2019.0,Unknown,Tashkent,Unknown
21,Hector Beltran,20,Male,52.0,Unknown,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,0.0,active,0.0,good,153.0,1983-03-31 17:15:15,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
22,Tara Nguyen ,22,Unknown,73.0,+0388742999,Brittanychester,Unknown,2000-06-04 17:46:54,Unknown,78.0,inactive,0.0,excellent,174.0,2020-11-26 00:00:00,UZ 100063 Tashkent Lake Shaneland,"['create', 'accept']",1.0,3.0,1.0,"['new', 'manager']",3.0,1140.0,1117.0,laptop,Dell,2016.0,phone,Xiaomi,2018.0,100063,Unknown,Unknown
23,Jessica Robinson ,22,Male,0.0,+11697150937,Jonesfurt,Unknown,2010-05-10 12:48:00,Unknown,81.0,inactive,0.0,good,26100.0,2005-06-09 00:00:00,"0451 James Cliffs Suite 725, Wagnermouth",,,,,,,,,,,,,,,Unknown,Wagnermouth,Unknown
24,Latoya Williams,18,Male,60.0,Unknown,North Ashleyborough,Unknown,2021-08-06 11:33:00,Data Science,0.0,pending,0.0,  excellent  ,14800.0,,"0258 Sean Keys Apt. 380, Kevinfort","['step', 'section']",1.0,5.0,3.0,"['beat', 'popular']",0.0,1376.0,871.0,laptop,Dell,2022.0,phone,Xiaomi,2019.0,Unknown,Kevinfort,Unknown
25,Unknown,21,Unknown,0.0,Unknown,Donnaview,Unknown,2025-03-08 00:00:00,Data Science,0.0,pending,0.0,excellent,135.0,2000-07-16 13:07:00,"06462 Buck Springs Apt. 169, North Lisa","['phone', 'consider']",1.0,3.0,2.0,"['must', 'around']",0.0,1453.0,206.0,laptop,Lenovo,2019.0,phone,Xiaomi,2020.0,06462,North Lisa,Unknown
26,Unknown,21,Female,0.0,Unknown,Harrisbury,Unknown,,Unknown,96.0,pending,0.0,good,29900.0,2001-02-12 00:00:00,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","['tough', 'role']",3.0,1.0,2.0,"['south', 'his']",1.0,623.0,577.0,laptop,Dell,2022.0,phone,Apple,2019.0,100119,Tashkent, Lake Crystal district
27,Emily Cummings,22,Female,59.0,Unknown,East Dariuston,Unknown,,Python,0.0,inactive,1.18,average,245.0,2000-12-24 00:42:00,"Apartment 27, South David district, Tashkent, UZ, 100696","['billion', 'feeling']",3.0,1.0,3.0,"['thought', 'particularly']",4.0,303.0,1245.0,laptop,Lenovo,2023.0,phone,Samsung,2023.0,100696,Tashkent, South David district
28,Brandy Powell ,0,Unknown,87.0,+4042330292,Oconnellburgh,Unknown,2000-07-27 00:00:00,Unknown,0.0,inactive,0.0,excellent,285.0,2014-07-31 11:40:00,"BROKEN,ADDRESS,DATA,,,","['energy', 'however']",2.0,1.0,3.0,"['either', 'plan']",4.0,1105.0,1106.0,laptop,Lenovo,2023.0,phone,Samsung,2022.0,Unknown,Unknown,Unknown
29,Unknown,21,Male,88.0,+5211681029,West Rachel,elizabeth49@yahoo.com,2014-09-19 00:00:00,Unknown,0.0,inactive,0.0,None,295.0,1992-05-20 00:00:00,"241 Sarah Spring, Bridgetton",,,,,,,,,,,,,,,Unknown,Bridgetton,Unknown
30,Jaime Rowe,0,Unknown,69.0,+0468929598,Shepardmouth,eolson@carr.net,1972-01-29 01:01:06,Data Science,64.0,pending,0.0,average,294.0,,"Port Robertstad 16-kv, dom 50, Tashkent","['woman', 'wear']",4.0,5.0,3.0,"['reduce', 'than']",4.0,1291.0,913.0,laptop,Lenovo,2024.0,phone,Xiaomi,2019.0,Unknown,Tashkent,Unknown
31,Brianna Castro ,21,Unknown,0.0,Unknown,East Regina,Unknown,2007-10-13 09:29:00,Data Science,0.0,pending,0.0,average,63.0,1970-09-12 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
32,April Johnson ,20,Male,0.0,+0548293587,Andersontown,Unknown,,Unknown,0.0,active,0.0,good,289.0,2022-04-21 06:18:32,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","['material', 'relate']",5.0,3.0,3.0,"['against', 'history']",4.0,1124.0,1323.0,laptop,Dell,2023.0,phone,Apple,2018.0,100686,Tashkent, Christineburgh district
33,Joyce Franklin,20,Female,60.0,+6180905816,South Brittany,Unknown,2000-06-29 21:16:26,Data Science,66.0,inactive,0.0,  excellent  ,57.0,1982-05-31 00:00:00,"New Antonio 12-kv, dom 41, Tashkent","['run', 'case']",4.0,2.0,3.0,"['rock', 'never']",4.0,1009.0,1369.0,laptop,Dell,2022.0,phone,Xiaomi,2020.0,Unknown,Tashkent,Unknown
34,Unknown,20,Female,0.0,Unknown,Hillmouth,Unknown,1983-05-24 00:00:00,Unknown,67.0,active,0.0,  excellent  ,17200.0,1975-06-08 00:00:00,UZ 100883 Tashkent West Michaelport,"['decide', 'least']",5.0,5.0,2.0,"['mouth', 'laugh']",4.0,763.0,1393.0,laptop,HP,2019.0,phone,Samsung,2020.0,100883,Unknown,Unknown
35,Unknown,22,Female,0.0,+3565523035,North Maryfort,Unknown,2008-01-25 20:03:00,Data Science,0.0,pending,0.0,None,136.0,1998-08-30 02:53:00,UZ 100652 Tashkent Lake Donaldton,,,,,,,,,,,,,,,100652,Unknown,Unknown
36,Unknown,22,Unknown,87.0,+0018930217782,North Gerald,Unknown,2018-11-11 00:00:00,Python,0.0,inactive,0.0,average,202.0,2024-12-18 00:00:00,"North Amy 11-kv, dom 49, Tashkent","['stay', 'even']",3.0,5.0,3.0,"['generation', 'group']",1.0,219.0,1344.0,laptop,Dell,2017.0,phone,Apple,2021.0,Unknown,Tashkent,Unknown
37,Jeremy Fry ,18,Unknown,0.0,+7731802562,New Kent,mccoyandrew@yahoo.com,,Data Science,0.0,pending,0.0,average,157.0,1971-02-04 00:00:00,"Apartment 49, New Ian district, Tashkent, UZ, 100606",,,,,,,,,,,,,,,100606,Tashkent, New Ian district
38,Christopher Sosa ,20,Male,0.0,+0011386481737,New Aliceland,Unknown,2022-08-12 00:00:00,Unknown,67.0,active,0.0,  excellent  ,242.0,1970-02-17 19:58:04,"Apartment 22, Youngton district, Tashkent, UZ, 100192","['art', 'learn']",3.0,2.0,3.0,"['write', 'alone']",2.0,1354.0,448.0,laptop,Lenovo,2024.0,phone,Samsung,2020.0,100192,Tashkent, Youngton district
39,David Duke ,20,Female,0.0,+5266776949,Harrishaven,Unknown,2004-09-26 00:00:00,Python,0.0,active,0.0,excellent,159.0,2022-05-25 01:20:33,UZ 100766 Tashkent Port William,,,,,,,,,,,,,,,100766,Unknown,Unknown
40,Sara Page ,20,Female,71.0,Unknown,West William,edgar27@phillips-martin.info,,Python,0.0,inactive,0.0,None,140.0,1993-10-06 00:00:00,"73317 Timothy Port Suite 163, Dicksonbury","['imagine', 'middle']",3.0,4.0,4.0,"['begin', 'movement']",5.0,270.0,255.0,laptop,Lenovo,2020.0,phone,Apple,2021.0,73317,Dicksonbury,Unknown
41,Unknown,19,Male,0.0,Unknown,West Georgefort,Unknown,1975-12-17 00:00:00,Unknown,0.0,active,0.0,average,225.0,,"4613 Robert Cliff Suite 875, South Leslie","['particular', 'turn']",1.0,4.0,2.0,"['trip', 'toward']",5.0,1364.0,1312.0,laptop,HP,2017.0,phone,Xiaomi,2019.0,Unknown,South Leslie,Unknown
42,Mark Smith ,0,Male,0.0,Unknown,West Morganchester,Unknown,1980-12-09 00:00:00,Unknown,81.0,inactive,0.0,excellent,255.0,1980-06-06 03:12:08,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,,,,,,,,,,,100563,Tashkent, Port Kristopherberg district
43,Amanda Myers,19,Female,0.0,+6981153243,North Christopherborough,Unknown,,Data Science,0.0,pending,0.0,average,14000.0,1990-02-09 05:03:04,UZ 100515 Tashkent North Joseph,"['professional', 'necessary']",5.0,4.0,2.0,"['recent', 'tend']",1.0,1134.0,1304.0,laptop,Dell,2018.0,phone,Apple,2021.0,100515,Unknown,Unknown
44,Eric George ,18,Male,93.0,Unknown,Nathanborough,Unknown,,Unknown,0.0,inactive,0.0,good,205.0,,UZ 100297 Tashkent North Candace,,,,,,,,,,,,,,,100297,Unknown,Unknown
45,Unknown,20,Unknown,83.0,Unknown,Duncanfort,Unknown,,Unknown,0.0,active,0.0,  excellent  ,135.0,2022-11-21 00:00:00,"Annahaven 19-kv, dom 3, Tashkent","['finish', 'true']",4.0,2.0,2.0,"['enter', 'response']",5.0,778.0,355.0,laptop,Lenovo,2021.0,phone,Xiaomi,2022.0,Unknown,Tashkent,Unknown
46,Brandi Jones,20,Male,0.0,Unknown,Ramirezborough,lawrence93@robinson-davis.com,1989-02-03 04:53:00,Unknown,92.0,inactive,0.0,None,172.0,1975-05-22 00:00:00,"BROKEN,ADDRESS,DATA,,,","['raise', 'let']",1.0,5.0,2.0,"['tell', 'compare']",3.0,209.0,1191.0,laptop,Dell,2016.0,phone,Apple,2021.0,Unknown,Unknown,Unknown
47,John Robinson,19,Unknown,51.0,Unknown,Port Tracy,wallacerandy@bradshaw.com,,Unknown,0.0,active,0.0,average,16600.0,1994-04-25 00:00:00,UZ 100626 Tashkent East Williamport,"['above', 'even']",3.0,2.0,5.0,"['minute', 'view']",4.0,1127.0,1111.0,laptop,HP,2020.0,phone,Apple,2022.0,100626,Unknown,Unknown
48,Suzanne Meyer,0,Male,95.0,Unknown,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,0.0,active,0.0,None,144.0,1976-01-20 00:00:00,"6637 Michelle Unions Apt. 959, Erikfort","['do', 'property']",3.0,1.0,4.0,"['parent', 'raise']",1.0,709.0,1006.0,laptop,Dell,2015.0,phone,Apple,2024.0,Unknown,Erikfort,Unknown
49,Unknown,18,Female,0.0,+12718094741,Lake Michael,Unknown,,Unknown,81.0,active,0.0,average,225.0,1992-09-19 00:00:00,"00607 Alvarez Circles Suite 553, North Benjamin",,,,,,,,,,,,,,,00607,North Benjamin,Unknown
50,Justin Wong ,18,Unknown,90.0,+0108099177,Travisfort,Unknown,1970-02-03 13:13:00,Unknown,0.0,active,0.0,average,164.0,1995-02-16 00:00:00,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","['decide', 'continue']",4.0,4.0,3.0,"['these', 'could']",3.0,204.0,506.0,laptop,Lenovo,2016.0,phone,Samsung,2024.0,100090,Tashkent, East Andrew district
51,James Davis ,20,Female,61.0,Unknown,New Emilyshire,Unknown,2014-02-09 00:00:00,Data Science,0.0,inactive,0.0,average,132.0,1995-04-07 00:00:00,UZ 100391 Tashkent Lake Amy,,,,,,,,,,,,,,,100391,Unknown,Unknown
52,Mitchell Conway ,19,Female,63.0,+5709119906,Lake Louis,Unknown,1994-06-13 04:13:00,Unknown,0.0,inactive,0.0,None,205.0,,"BROKEN,ADDRESS,DATA,,,","['painting', 'tough']",4.0,5.0,2.0,"['hour', 'series']",3.0,543.0,1003.0,laptop,Dell,2015.0,phone,Apple,2020.0,Unknown,Unknown,Unknown
53,Unknown,20,Female,88.0,+7808691118,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,Unknown,0.0,inactive,0.0,average,251.0,1990-03-31 00:00:00,UZ 100232 Tashkent Annabury,,,,,,,,,,,,,,,100232,Unknown,Unknown
54,Heather Moreno,19,Female,83.0,+4389178289,South Jasmine,Unknown,2025-07-25 00:00:00,Data Science,0.0,pending,0.0,  excellent  ,221.0,2024-01-16 00:00:00,"Christown 6-kv, dom 20, Tashkent","['leave', 'effect']",3.0,5.0,5.0,"['six', 'reduce']",1.0,581.0,302.0,laptop,Dell,2020.0,phone,Apple,2020.0,Unknown,Tashkent,Unknown
55,Todd Moore,21,Male,0.0,+15174942230,Richardview,schmidtregina@gmail.com,1999-04-29 21:01:29,Unknown,0.0,inactive,0.0,  excellent  ,51.0,1998-03-22 03:51:00,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291",,,,,,,,,,,,,,,100291,Tashkent, West Davidhaven district
56,Unknown,21,Female,0.0,Unknown,Katelynton,dominguezerin@solis.org,,Unknown,0.0,inactive,0.0,None,298.0,1980-07-14 00:00:00,"Apartment 42, South Charles district, Tashkent, UZ, 100904","['where', 'game']",4.0,2.0,1.0,"['per', 'detail']",1.0,602.0,1380.0,laptop,Lenovo,2019.0,phone,Samsung,2022.0,100904,Tashkent, South Charles district
57,Ashley Lowe ,0,Female,0.0,+15016900671,Robertshire,zvargas@chapman.org,2025-02-08 09:46:00,Unknown,0.0,inactive,0.0,average,236.0,2023-01-02 00:00:00,"87807 Kayla Glens, Autumnmouth",,,,,,,,,,,,,,,87807,Autumnmouth,Unknown
58,Eric Holmes ,18,Male,57.0,+14219273279,West Tricia,Unknown,2001-03-13 12:56:00,Unknown,80.0,pending,0.0,  excellent  ,160.0,2020-05-21 00:00:00,"682 Vasquez Expressway Suite 699, West Nicolechester","['recognize', 'between']",5.0,2.0,2.0,"['image', 'leg']",5.0,1178.0,1209.0,laptop,Lenovo,2021.0,phone,Xiaomi,2020.0,Unknown,West Nicolechester,Unknown
59,Nathan Melendez,20,Female,75.0,+2671082545,Wheelerport,Unknown,1971-06-20 00:00:00,Data Science,0.0,active,0.0,average,65.0,1970-09-19 00:00:00,"Apartment 9, Laurabury district, Tashkent, UZ, 100798",,,,,,,,,,,,,,,100798,Tashkent, Laurabury district
60,Brett Cabrera,0,Unknown,0.0,Unknown,Port Carlos,Unknown,,Unknown,0.0,active,0.0,excellent,12100.0,1972-01-29 00:00:00,"East Elizabethhaven 9-kv, dom 15, Tashkent",,,,,,,,,,,,,,,Unknown,Tashkent,Unknown
61,William Moore,0,Female,93.0,+5428357188,Port Juanland,Unknown,2010-05-07 00:00:00,Data Science,0.0,inactive,3.2,average,5000.0,1983-06-05 05:46:56,"6258 Gordon Road, Smithshire","['painting', 'kid']",1.0,4.0,2.0,"['fill', 'growth']",5.0,964.0,1178.0,laptop,Lenovo,2017.0,phone,Samsung,2024.0,Unknown,Smithshire,Unknown
62,Margaret Lopez,20,Male,0.0,+5189848100,East Caitlinfurt,Unknown,1980-02-04 04:04:00,Unknown,0.0,active,4.07,None,18300.0,,"BROKEN,ADDRESS,DATA,,,","['others', 'one']",3.0,5.0,2.0,"['enjoy', 'test']",5.0,946.0,741.0,laptop,HP,2024.0,phone,Samsung,2018.0,Unknown,Unknown,Unknown
63,William Olsen ,22,Female,0.0,+12075891183,East Sophia,Unknown,1995-11-13 00:00:00,Unknown,0.0,inactive,3.72,excellent,138.0,1999-04-21 00:00:00,"9057 Griffin Heights, Rasmussenside",,,,,,,,,,,,,,,Unknown,Rasmussenside,Unknown
64,Unknown,19,Unknown,0.0,Unknown,Christopherborough,Unknown,2014-12-15 00:00:00,Python,0.0,active,0.0,good,97.0,2011-04-16 00:00:00,"BROKEN,ADDRESS,DATA,,,","['stock', 'management']",3.0,5.0,1.0,"['move', 'bar']",3.0,786.0,987.0,laptop,HP,2020.0,phone,Samsung,2018.0,Unknown,Unknown,Unknown
65,Randall Heath ,18,Male,0.0,+3463736033,Deleonside,Unknown,,Unknown,65.0,pending,0.0,average,105.0,1985-10-02 00:00:00,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","['position', 'stuff']",3.0,4.0,1.0,"['two', 'economy']",5.0,527.0,408.0,laptop,HP,2021.0,phone,Xiaomi,2023.0,100220,Tashkent, Lutzfort district
66,Unknown,20,Male,0.0,+1149895033,North Markbury,nrichard@carney.com,2012-03-29 00:00:00,Unknown,99.0,inactive,0.0,average,27400.0,2016-12-24 09:42:22,"67890 Conrad Walks, East Tannermouth","['shake', 'behind']",3.0,4.0,5.0,"['what', 'happy']",5.0,1227.0,564.0,laptop,Dell,2017.0,phone,Apple,2019.0,67890,East Tannermouth,Unknown
67,Ashley Mills,0,Female,0.0,Unknown,Youngside,Unknown,2012-07-27 00:00:00,Unknown,0.0,pending,0.0,excellent,276.0,1991-06-04 04:44:47,"BROKEN,ADDRESS,DATA,,,","['share', 'fly']",2.0,5.0,3.0,"['floor', 'question']",0.0,1427.0,1378.0,laptop,Lenovo,2017.0,phone,Xiaomi,2022.0,Unknown,Unknown,Unknown
68,John Rosario ,18,Female,82.0,+7590895599,Belindabury,Unknown,1971-07-20 08:45:22,Unknown,0.0,inactive,0.0,good,190.0,1990-08-02 14:57:53,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059","['result', 'current']",3.0,1.0,4.0,"['return', 'address']",5.0,1037.0,1043.0,laptop,HP,2021.0,phone,Apple,2022.0,100059,Tashkent, North Adammouth district
69,Unknown,21,Unknown,0.0,Unknown,Jenniferfort,Unknown,,Data Science,0.0,inactive,0.0,average,209.0,2001-08-11 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
70,Unknown,18,Female,66.0,+9773285987,Lake Josephville,nathaniel54@lloyd.biz,2002-10-31 12:03:00,Unknown,0.0,pending,0.0,  excellent  ,88.0,2012-06-13 19:49:00,"Port Lisa 17-kv, dom 46, Tashkent","['ahead', 'force']",5.0,1.0,1.0,"['where', 'responsibility']",5.0,658.0,561.0,laptop,Lenovo,2022.0,phone,Apple,2023.0,Unknown,Tashkent,Unknown
71,Robert Hayes,0,Male,0.0,+7804085623,Tabithafurt,teresa05@collins.biz,,Unknown,63.0,pending,0.0,  excellent  ,10300.0,1996-09-27 00:00:00,"Benitezmouth 14-kv, dom 38, Tashkent","['lead', 'toward']",1.0,2.0,3.0,"['through', 'water']",5.0,494.0,1415.0,laptop,HP,2018.0,phone,Xiaomi,2019.0,Unknown,Tashkent,Unknown
72,William Weiss ,0,Unknown,78.0,+3361875307,Williamfort,Unknown,,Data Science,0.0,active,0.0,None,5700.0,1977-11-15 00:00:00,"313 Ayala Point, East Nicholas",,,,,,,,,,,,,,,Unknown,East Nicholas,Unknown
73,Unknown,18,Female,0.0,Unknown,Smithville,scampbell@mendez.biz,1993-12-18 00:00:00,Unknown,0.0,inactive,3.19,good,117.0,2001-05-06 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
74,Brandi Reed,18,Male,0.0,Unknown,Port Randallberg,Unknown,1990-09-05 00:00:00,Python,89.0,pending,0.0,excellent,176.0,2013-07-28 22:26:51,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
75,Unknown,22,Female,98.0,+0019936950828,East Shelly,lsmith@gmail.com,,Unknown,0.0,active,2.71,average,200.0,2006-03-02 10:39:00,"BROKEN,ADDRESS,DATA,,,","['dark', 'exist']",5.0,1.0,4.0,"['store', 'position']",0.0,294.0,207.0,laptop,Lenovo,2021.0,phone,Samsung,2019.0,Unknown,Unknown,Unknown
76,Anthony Hendricks ,0,Unknown,0.0,+17956166147,Figueroamouth,Unknown,2000-07-19 00:00:00,Data Science,0.0,inactive,0.0,None,117.0,,UZ 100760 Tashkent Millermouth,,,,,,,,,,,,,,,100760,Unknown,Unknown
77,Alexa Sanders,21,Male,73.0,+3477475643,Lake Randymouth,johnsonchelsea@yahoo.com,1986-12-20 00:00:00,Data Science,0.0,active,0.0,  excellent  ,25600.0,2021-07-18 00:00:00,"034 Cooley Way, East Ian",,,,,,,,,,,,,,,Unknown,East Ian,Unknown
78,Unknown,18,Male,95.0,Unknown,Romeroville,Unknown,2017-12-25 12:00:00,Unknown,0.0,active,0.0,good,217.0,1989-02-04 00:00:00,"BROKEN,ADDRESS,DATA,,,",,,,,,,,,,,,,,,Unknown,Unknown,Unknown
79,Garrett Taylor ,0,Female,0.0,+0017688655394,Martinezfort,Unknown,2005-11-18 17:34:28,Unknown,89.0,active,0.0,  excellent  ,225.0,1974-11-07 16:09:00,UZ 100510 Tashkent Andrewmouth,,,,,,,,,,,,,,,100510,Unknown,Unknown
80,Brandy Gray,19,Male,0.0,+12947806766,Andrewborough,ballen@barber-saunders.com,1986-04-11 00:00:00,Data Science,0.0,active,4.49,average,266.0,2025-07-12 00:00:00,UZ 100622 Tashkent Aarontown,,,,,,,,,,,,,,,100622,Unknown,Unknown
81,Donna Scott ,19,Female,0.0,+16075366003,Lake Timfort,alicia71@robles.com,1996-11-30 17:12:35,Unknown,0.0,active,0.0,  excellent  ,65.0,2015-03-29 18:51:00,UZ 100720 Tashkent Lake Hollytown,,,,,,,,,,,,,,,100720,Unknown,Unknown
